ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,INDENTIFICADOR,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,NPLACES ESTACIÓ,CODIMUN,TIPUS VEHICLE,Columna amb georeferència
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.51106,2.40104,EdRsR Cabrera-Burriac (AC22kW),22,AC,,"Avinguda de Burriac, 24",Barcelona,08,Cabrera de Mar,2,,cotxe i moto,POINT (2.40104 41.51106)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.401478,2.156578,B:SM 56 - Plaça del Sol,,,BAMSA001,"Plaça del Sol, 5",Barcelona,08,Barcelona,1,,cotxe,POINT (2.156578 41.401478)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.42077,2.151564,B:SM 43 - Salvador Allende,,,BSM040,Plaça de Salvador Allende,Barcelona,08,Barcelona,4,,cotxe,POINT (2.151564 41.42077)
,PETROMIRALLES,ESTACIÓ SERVEI,NORMAL,Schuko,41.588905,1.6218929,ES PetroMiralles,,,,"Carrer Guimaraes, 2",Barcelona,08,Igualada,1,,,POINT (1.6218929 41.588905)
,GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.393005,2.146561,(eTAXI) Villarroel- Diagonal (7.4kW),7.5,AC,QC004,"Carrer de Villarroel,277-Avinguda  Diagonal",Barcelona,08,Barcelona,2,,taxi,POINT (2.146561 41.393005)
,,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.75166,1.87694,EdRsR Sant Fruitós de Bages (AC22kW),22,AC,,"Carretera de Vic, 96",Barcelona,08,Sant Fruitós de Bages,2,,cotxe i moto,POINT (1.8769399999999998 41.75166)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.149887,1.105901,Aparcament Pastoreta,,,,"Plaça Pastoreta, 10",Tarragona,43,Reus,2,,cotxe i moto,POINT (1.105901 41.149887)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379936,2.189115,B:SM 59 - Barceloneta Centre,,,BAMSA011,"Carrer Escuder, 1",Barcelona,08,Barcelona,1,,cotxe,POINT (2.189115 41.379936)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.388,2.17318,TESLA Destinació - Hotel H10 Cubik (22kW),22,AC,,"Via Laietana, 69",Barcelona,08,Barcelona,1,,cotxe,POINT (2.17318 41.388)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.401313,2.122488,EdRR-Via Augusta-Bonanova (DC50kW AC43kW),50,AC-DC,FC002,"Via Augusta, 352",Barcelona,08,Barcelona,1,,cotxe,POINT (2.122488 41.401313)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.405746,2.162722,B:SM 28 - Plaça Joanic,,,BSM021,"Carrer de l'Escorial, 1 - Pl. Joanic, 1",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.162722 41.405746)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.40263,2.19475,EdRR-MediaTIC -Santiago Losada- (DC50kW AC43kW),50,AC-DC,FC016,"Carrer Roc Boronat, 117",Barcelona,08,Barcelona,1,,cotxe,POINT (2.19475 41.40263)
,Hotel Turó de la Torre,HOTEL,NORMAL,Schuko,41.73874569186171,1.841205060482025,Hotel Turó de la Torre,,,,"P.I. Els Dolors, Carrer de Sallent, S/N, Torre Alberni",Barcelona,08,Manresa,1,,,POINT (1.8412050604820251 41.73874569186171)
,CIRCONTROL,APARCAMENT SEU (PRIVAT),semiRAPID i NORMAL,MENNEKES.M+Schuko,41.560821,1.961738,Seu CIRCONTROL 22kW,22,AC,,"Carrer Innovació,3 - P I. Can Mitjans",Barcelona,08,Viladecavalls,4+3,,cotxe i moto,POINT (1.9617380000000002 41.560821)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.414478,2.172243,EdRR-Mas Casanova - H Sant Pau (DC50kW AC43kW),50,AC-DC,FC007,"Carrer de Mas Casanova, 69",Barcelona,08,Barcelona,1,,cotxe,POINT (2.172243 41.414478)
,,,semiRAPID,2xMENNEKES.F,41.28755,1.25847,EdRsR Valls (AC22kW),22,AC,,"Carrer Prat de la Riba, 16",Tarragona,43,Valls,2,,,POINT (1.25847 41.28755)
,InterAparcament,APARCAMENT PUBLIC,NORMAL,Schuko,41.378017,2.176001,105 InterAparcament Rambla Plç.Colon,,,,"Rambla de Santa Mònica, 20",Barcelona,08,Barcelona,2,,cotxe,POINT (2.176001 41.378017)
,Ajuntament de Cabrils,APARCAMENT PUBLIC,NORMAL,Schuko,41.526897,2.366464,Aparcament Concòrdia,,,,"Carrer del Torrent Roig, 6, Aparcament",Barcelona,08,Cabrils,1,,cotxe i moto,POINT (2.366464 41.526897)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.381421,2.18197,19 AjBCN-Endesa-Correus-Via Laietana,,,LC001,"Plaça Antoni Lòpez,  s/n",Barcelona,08,Barcelona,2,,moto,POINT (2.18197 41.381421)
,NIKE,APARCAMENT,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.61451,2.34642,CC NIKE MegaStore La Roca Village (11kW),11,AC,,P.I. Can Massaguer Nord,Barcelona,08,La Roca del Vallès,2,,,POINT (2.34642 41.61451)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.384186,2.122279,B:SM 38 - Tanatori Les Corts,,,BSM007,"Avinguda  de Joan XXIII, 23 - 25",Barcelona,08,Barcelona,2+2,,cotxe i moto,POINT (2.122279 41.384186)
,Ajuntament Cambrils,VIA PUBLICA,NORMAL,MENNEKES.F+Schuko,41.07451,1.0526,Cambrils 2 (3.6kW),,,,Plaça de la Vila,Tarragona,43,Cambrils,2,,cotxe i moto,POINT (1.0526 41.07451)
,,,semiRAPID,MENNEKES.M,41.93088,2.25542,Aparcament Xarxa Comercial,,,,"Plaça de Santa Clara, 6",Barcelona,08,Vic,1,,cotxe i moto,POINT (2.25542 41.93088)
,InterAparcament,APARCAMENT CC,NORMAL,Schuko,41.392826,2.163384,104 InterAparcament Boulevard Rosa,,,,Carrer de València 270,Barcelona,08,Barcelona,2,,cotxe,POINT (2.163384 41.392826)
,TESLA Hotel Ibis,APARCAMENT HOTEL,superRAPID,TESLA,41.66405,0.60536,TESLA Supercarregador - Hotel IBIS Styles Torrefarrera (120kW),120,DC,,"Carrer La Variant S/N, Autovia A2 Salida 461",Lleida,25,Torrefarrera,6,,cotxe,POINT (0.60536 41.66405000000001)
,Mercat de Rubí,,NORMAL,Schuko,41.488958,2.0353593,Mercat de Rubí,,,,"Carrer Llobateres, 89",Barcelona,08,Rubí,1,,,POINT (2.0353593000000005 41.488958)
,Ajuntament de Llinars del Vallès,,NORMAL,Schuko,41.640184225,2.399023735,Ajuntament de Llinars del Vallès,,,,"Avinguda  Pau Casals, 26",Barcelona,08,Llinars del Vallès,1,,,POINT (2.399023735 41.640184225)
,IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.52801,1.8809321,IBIL-ES REPSOL A2 BurgerKing (DC50kW AC43kW),50,AC-DC,,"Carretera C-1414, Autovia A2 km 581,5, sortida 581 dir.TGN o 582B dir.BCN",Barcelona,08,Esparreguera,1,,cotxe,POINT (1.8809321000000003 41.52801)
,SABA,APARCAMENT PUBLIC,NORMAL,Schuko,41.37764,2.13894,Saba Aparcament Estació de Sants,,,,Plaça Joan Peiró,Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.13894 41.37764)
,HOTEL NH CONSTANZA,HOTEL,NORMAL,Schuko,41.3915983,2.177850499999977,HOTEL NH PODIUM,,,,"Carrer de Bailén, 4-6",Barcelona,08,Barcelona,1,,,POINT (2.177850499999977 41.3915983)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.442436,2.197319,07 AjBCN-Endesa La Maquinista,,,LC033,Carrer República Dominicana - Carrer de Potosí,Barcelona,08,Barcelona,2,,moto,POINT (2.1973190000000002 41.442436)
,Circuit de Catalunya i TESLA,APARCAMENT CIRCUIT,semiRAPID,TESLA+MENNEKES.M,41.57015,2.25876,Circuit Barcelona-Catalunya (22kW),22,AC,,Mas de la Moreneta,Barcelona,08,Montmeló,3,,cotxe,POINT (2.25876 41.57015)
,Ajuntament de Mataró,,semiRAPID,,41.54453,2.44115,EdRsR Mataró P Geganta (AC22kW),22,AC,,"Camí de la Geganta, 82-90",Barcelona,08,Mataró,4,,,POINT (2.44115 41.54453)
,AEB,VIA PUBLICA,NORMAL,Schuko,41.394203,2.123794,93 AjBCN-ETRA-COBRA,,,LC014,"Carrer d'Osi, 4",Barcelona,08,Barcelona,2,,cotxe i moto,POINT (2.123794 41.394203)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.158966,1.106615,Aparcament Llibertat,,,,Plaça Llibertat,Tarragona,43,Reus,4,,cotxe i moto,POINT (1.106615 41.158966)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4049,2.17729,B:SM 21 - Mercat Sagrada Família,,,BSM042,"Carrer de Mallorca, 425-433",Barcelona,08,Barcelona,1,,cotxe,POINT (2.17729 41.4049)
,GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.375444,2.189039,(eTAXI) Barceloneta - Joan de Borbó (7.4kW),7.5,AC,QC003,"Passeig Joan de Borbó - Carrer de la Drassana, 1",Barcelona,08,Barcelona,2,,taxi,POINT (2.189039 41.375444)
,Ajuntament de la Seu d'Urgell,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,42.3556,1.46035,EdRsR La Seu d'Urgell (AC22kW),22,AC,,Passeig Joan Brudieu,LLeida,25,La Seu d'Urgell,2,,cotxe,POINT (1.46035 42.3556)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.5067,2.14816,Fenie Ripollet,,,,"Avinguda del Mediterrani, 2",Barcelona,08,Ripollet,2,,cotxe i moto,POINT (2.14816 41.5067)
,GAICU,VIA PUBLICA,semiRAPID,MENNEKES.F,41.375233,2.151765,(eTAXI) Llançà - Paral·lel (7.4kW),7.5,AC,QC006,"Carrer de Llançà, 3 - Avinguda  del Paral·lel",Barcelona,08,Barcelona,2,,taxi,POINT (2.151765 41.375233)
,Gas Natural Fenosa,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.52427,2.42684,EdRR Mataró Tub Verd COFAST (DC50kW AC43kW),50,AC-DC,,"Carretera N-II, km 644",Barcelona,08,Mataró,2,,,POINT (2.42684 41.52427)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.390085,2.143525,B:SM 58 - Tarradelles-Sarrià,,,BAMSA009,"Avinguda  de Josep Tarradellas, 139",Barcelona,08,Barcelona,1,,cotxe,POINT (2.143525 41.390085)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.382126,2.168188,B:SM 50 - Plaça dels Àngels,,,BAMSA005,"Carrer dels Àngels, 1",Barcelona,08,Barcelona,3,,cotxe o moto,POINT (2.168188 41.382126)
,Gasolis Rivera,ESTACIÓ DE SERVEI,NORMAL,MENNEKES.F+Schuko,41.62463,2.17126,Gasoils Rovira,,,,"Carrer de Josep Calvo, 7",Barcelona,08,Caldes de Montbui,2,,cotxe i moto,POINT (2.17126 41.62463)
,Institut Català d'Energia i Ajuntament de Lleida,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.60766,0.62231,EdRR Lleida (DC50kW AC43kW),50,AC-DC,PIRVEC-8,"Carrer Jaume II, 73",Lleida,25,Lleida,2,,cotxe,POINT (0.6223100000000001 41.60766)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.18305,0.56667,EdRsR Ascó-Unió (AC22kW),22,AC,,"Carrer Unió, 8",Tarragona,43,Ascó,2,,cotxe i moto,POINT (0.56667 41.18305)
,,,,CCS Combo2+ChadeMO+MENNEKES.M,41.37302,2.17892,EdRR-Port de Barcelona (DC50kW AC43kW),50,AC-DC,,,Barcelona,08,Barcelona,1,,cotxe,POINT (2.17892 41.37302)
,,,semiRAPID,2xMENNEKES.F,41.75166,1.87694,EdRsR Sant Fruitós del Bages 1 (AC22kW),22,AC,,"Carretera de Vic, 96",Barcelona,08,Sant Fruitós de Bages,,,,POINT (1.8769399999999998 41.75166)
,TABASA E.S. Tunel Vallvidrera,ESTACIÓ SERVEI,NORMAL,Schuko,41.433258,2.078548,97 TABASA E.S. Tunel Vallvidrera,,,,"Carretera C-16, km 6,45",Barcelona,08,Barcelona,4,,cotxe i moto,POINT (2.078548 41.433258)
,Ajuntament de Banyoles,VIA PUBLICA,NORMAL,Schuko,42.119119,2.764798,Plaça Servites- Museu Darder,,,,"Carrer Josep Maria Bohigas, 11",Girona,17,Banyoles,1,,cotxe i moto,POINT (2.764798 42.119119)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.40247,2.204062,B:SM 4 - Bilbao-Llull,,,BSM011,"Carrer de Bilbao, 24",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.204062 41.40247)
,Institut Català d'Energia i Ajuntament de Santa Perpètua de Mogoda,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.52752,2.18587,EdRR Sta.Perpetua de Mogoda -Jordi Cuixart- (DC50kW AC43kW+AC22kW) PIRVEC-12,50,AC-DC,PIRVEC-12,Passeig de la Florida-Avinguda Onze de setembre,Barcelona,08,Santa Perpetua de la Mogoda,2,,,POINT (2.18587 41.52752)
,Institut Català d'Energia i Ajuntament de Girona,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.96365,2.81488,EdRR Girona Sud -Quim Torra- (DC50kW AC43kW),50,AC-DC,PIRVEC-6,"Carrer del Riu Cardener, 30",Girona,17,Girona,2,,cotxe,POINT (2.81488 41.96365)
,Generalitat de Catalunya,Aparcament Estació,NORMAL,Schuko,41.53044,2.08878,Intercanviador FGC Sant Quirze,,,FGCSQZE,Carretera de Molins de Rei - Avinguda Països Catalans,Barcelona,08,SANT QUIRZE DEL VALLÈS,2,,cotxe i moto,POINT (2.08878 41.530440000000006)
,,VIA PUBLICA,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.23018,1.74523,EdRsR Sant Pere de Ribes 2 (AC22kW),22,AC,,"Avinguda de Mas d'En Serra, 2,",Barcelona,08,Sant Pere de Ribes,2,,cotxe i moto,POINT (1.7452300000000003 41.23018)
,Gintra-Ap Plaça de Cuba,APARCAMENT PUBLIC,NORMAL,Schuko,41.537302431,2.440399469,Gintra-Ap Plaça de Cuba,,,,"Carrer Cuba, 40",Barcelona,08,Mataró,1,,,POINT (2.440399469 41.537302431)
,Port Aventura,APARCAMENT PORT AVENTURA,NORMAL,MENNEKES.F+Schuko,41.087507,1.152312,Aparcament Port Aventura World,,,,Avinguda Pere Molas,Tarragona,43,Salou,2,,cotxe i moto,POINT (1.152312 41.087507)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.420013,2.20167,10 AjBCN-Endesa Guipúscoa,,,LC023,"Rambla de Guipúscoa, 103-105",Barcelona,08,Barcelona,2,,moto,POINT (2.20167 41.420013)
,Ajuntament de Mollet,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.53721,2.21108,EdRsR Mollet -Josep Rull- (AC22kW),22,AC,,"Avinguda Burgos, 37",Barcelona,08,Mollet del Vallès,2,,cotxe i moto,POINT (2.21108 41.53721)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.3885,2.1983,B:SM 17 - Litoral Port,,,BSM017,"Avinguda  del Litoral, 34",Barcelona,08,Barcelona,3,,cotxe,POINT (2.1983 41.3885)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),,,BSM028,"Passeig  de Maragall, 54",Barcelona,08,Barcelona,4+2,,cotxe i moto,POINT (2.180421 41.416515)
,Ajuntament d'Alella,VIA PUBLICA,NORMAL,Schuko,41.49187,2.295535,Riera Fosca-Riera Alella,,,,Riera Fosca-Riera Alella,Barcelona,08,Alella,2,,,POINT (2.295535 41.49187)
,CC Splau!,APARCAMENT CC,NORMAL,Schuko,41.348210524810646,2.078057527542114,CC Splau!,,,,"Avinguda  Baix Llobregat, 121, CC Splau!",Barcelona,08,Cornellà de Llobregat,6,,cotxe,POINT (2.0780575275421143 41.348210524810646)
,,,,CCS Combo2+ChadeMO+MENNEKES.M,41.01008,0.93888,EdRR Mont-Roig del Camp (DC50kW AC43kW) PIRVEC-31,50,AC-DC,PIRVEC-31,"Avinguda del Mar, 21",Tarragona,43,Mont-Roig del Camp,,,,POINT (0.93888 41.01008)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.375336,2.13044,18 AjBCN-Endesa,,,LC026,"Rambla Badal, 165 - Carrer de Sants",Barcelona,08,Barcelona,2,,moto,POINT (2.13044 41.375336)
,,VIA PUBLICA,NORMAL,Schuko,41.377108,2.119567,AjBCN-Pintor Tapiró,,,,Pintor Tapiró 2-6 - Travessera de les Corts,Barcelona,08,Barcelona,2,,moto,POINT (2.119567 41.377108)
,EMPARK,APARCAMENT PUBLIC,NORMAL,Schuko,41.118491,1.246252,Aparcament EMPARK,,,,"Rambla Nova, 124",Tarragona,43,Tarragona,1,,cotxe i moto,POINT (1.246252 41.118491)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.407211,2.151497,B:SM 39 - Torrent de l'Olla,,,BSM002,"Carrer del Torrent de l'Olla, 221",Barcelona,08,Barcelona,3,,cotxe,POINT (2.151497 41.407211)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.4047,2.1896,B:SM 24 - Ona Glòries,,,BSM037,"Carrer de la Ciutat de Granada, 173-175",Barcelona,08,Barcelona,4,,cotxe,POINT (2.1896 41.4047)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.152793,1.10902,Aparcament Baluard,,,,"Raval Robuster, 47",Tarragona,43,Reus,2,,cotxe i moto,POINT (1.10902 41.152793)
,CORIO REAL ESTATE,APARCAMENT CC,NORMAL,Schuko,41.375511,2.182206,CC Maremagnum,,,,"Moll d'Espanya, 5",Barcelona,08,Barcelona,2+3,,cotxe i moto,POINT (2.182206 41.37551100000001)
,GAICU,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.39347,2.20446,EdRR-Vil·la Olimpica-ES Repsol-McDonald's (DC50kW AC43kW),50,AC-DC,FC001,"Avinguda del Litoral,49,  Sortida 23- Carrer de Badajoz",Barcelona,08,Barcelona,1,,cotxe,POINT (2.20446 41.39347)
,Institut Català d'Energia i Ajuntament de Reus,VIA PUBLICA,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.15799,1.10527,EdRR Reus Pl.Llibertat (DC50kW AC43kW),50,AC-DC,PIRVEC-3,"Carrer Ample, 2",Tarragona,43,Reus,2,,cotxe,POINT (1.10527 41.15799)
,,,semiRAPID,2xMENNEKES.F,41.079048,1.132352,EdRsR Salou (AC22kW),22,AC,,"Avinguda Roma,11",Tarragona,43,Salou,,,,POINT (1.132352 41.079048)
,REGESA,APARCAMENT PUBLIC,NORMAL,Schuko,41.429783,2.172896,REGESA Paul Claudel,,,,"Plaça de Paul Claudel, s/n",Barcelona,08,Barcelona,4,,cotxe,POINT (2.172896 41.429783)
,Institut Català d'Energia i Ajuntament de Figueres,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.25973,2.9666,EdRR Figueres 1 Creu de la mà (DC50kW AC43kW) PIRVEC-18,50,AC-DC,PIRVEC-18,"Carrer Nou, 164",Girona,17,Figueres,2,,,POINT (2.9666 42.25973)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,42.27591,2.95365,TESLA Destinació - Hotel Empordà Figueres (11kW),11,AC,,"Avinguda de Salvador Dalí i Domènech, 170",Girona,17,Figueres,1,,cotxe,POINT (2.95365 42.27591)
,,,NORMAL,Schuko,41.56035,2.00633,Plaça Progrés-Motos,,,,"Carrer Arquimedes, 142",Barcelona,08,Terrassa,2,,cotxe,POINT (2.00633 41.56035)
,Endesa,VIA PUBLICA,NORMAL,Schuko,41.380928,2.142103,25 AjBCN-Endesa-Sants,,,LC010,"Avinguda  de Josep Tarradellas, 1",Barcelona,08,Barcelona,2,,moto,POINT (2.142103 41.380928)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.401794,2.160702,B:SM 47 - Siracusa,,,BAMSA010,"Carrer de Siracusa, 39 - 51",Barcelona,08,Barcelona,1,,cotxe,POINT (2.160702 41.401794)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.372299,2.153134,B:SM 35 - Rius i Taulet,,,BSM016,"Avinguda  de Rius i Taulet, 4-12",Barcelona,08,Barcelona,3+3,,cotxe i moto,POINT (2.153134 41.372299)
,REGESA,APARCAMENT CC,NORMAL,Schuko,41.363926804,2.127766612,CC BCN-Francesc Macià,,,,Carrer Francesc Macià,Barcelona,08,L'Hospitalet de Llobregat,2,,,POINT (2.127766612 41.363926804)
,,,RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.35894,1.46321,EdRR La Seu d'Urgell (DC50kW AC43kW),50,AC-DC,,Avinguda Cami Ral de Cerdanya,Lleida,25,La Seu d'Urgell,2,,cotxe,POINT (1.46321 42.35894)
,El Corte Inglés,APARCAMENT CC,NORMAL,Schuko,41.387627,2.128022,98 El Corte Inglés,,,,"Avinguda Diagonal, 617",Barcelona,08,Barcelona,3,,cotxe,POINT (2.128022 41.387627)
,CC Anec Blau,APARCAMENT CC,NORMAL,Schuko,41.283698,1.98725,CC Anec Blau,,,,"Rotonda Can Rabadà, 16",Barcelona,08,Castelldefels,1,,cotxe i moto,POINT (1.98725 41.283698)
,ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.452527719,2.249290201,CC BCN-El Viver,,,,"Avinguda  President Companys, 3",Barcelona,08,Badalona,6,,,POINT (2.249290201 41.452527719)
,ENGESTUR,APARCAMENT CC,NORMAL,Schuko,41.443979302,2.238902041,CC BCN-Països Catalans,,,,Plaça dels Països Catalans,Barcelona,08,Badalona,6,,,POINT (2.238902041 41.443979302)
,Ajuntament de Rubí,,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M+2xMENNEKES.F+2xSchucko,41.48569,2.03037,EdRR Rubí FORMA -Joan Miró- (DC50kW AC43kW),50,AC-DC,,Rambleta Joan Miró,Barcelona,08,Rubí,5,,cotxe i moto,POINT (2.03037 41.48569)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,,,BSM029,"Passeig de Manuel Girona, 77",Barcelona,08,Barcelona,4+2,,cotxe i moto,POINT (2.128751 41.392246)
,ALBET i NOYA vinyes,COMERÇ,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.384744,1.806303,Albet i Noya,,,,"Can Vendrell, s/n, Sant Pau d'Ordal",Barcelona,08,Subirats,2,,cotxe i moto,POINT (1.8063030000000002 41.384744)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.442055,2.177675,B:SM 31 - Plaça Francesc Layret,,,BSM022,"Via Júlia, 95",Barcelona,08,Barcelona,3+1,,cotxe i moto,POINT (2.177675 41.44205500000001)
,,,semiRAPID i NORMAL,MENNEKES.F+Schuko,41.18619,1.51388,Caprabo Benzinera,,,,Avinguda Masos-Carretera N-340,Tarragona,43,El Vendrell,2,,cotxe i moto,POINT (1.51388 41.18619)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.379272,2.169613,B:SM 49 - Sant Rafael,,,BAMSA006,"Carrer de Sant Rafael, 15",Barcelona,08,Barcelona,4,,cotxe,POINT (2.1696130000000005 41.379272)
,El Corte Ingles Tarragona,APARCAMENT CC,NORMAL,Schuko,41.121159436,1.242038612,CC El Corte Ingles (Tarragona),,,,Avinguda  President LLuis Companys 7-11,Tarragona,43,Tarragona,3,,cotxe i moto,POINT (1.242038612 41.121159436)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.37212,2.156625,B:SM 7 - Ciutat del Teatre,,,BSM008,"Carrer de la França Xica, 35",Barcelona,08,Barcelona,3,,cotxe,POINT (2.156625 41.37212)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4092,2.1681,B:SM 18 - Marina Gracia,,,BSM025,"Carrer de la Marina, 345",Barcelona,08,Barcelona,4+2,,cotxe i moto,POINT (2.1681 41.4092)
,AMERSAM,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.155844,1.101972,Aparcament Oques,,,,"Passeig de Sunyer, 5",Tarragona,43,Reus,4,,cotxe i moto,POINT (1.101972 41.155844)
,TESLA,APARCAMENT HOTEL,semiRAPID,TESLA,41.38702,2.19608,TESLA Destinació - Hotel Arts (22kW),22,AC,,Carrer de la Marina 19-21,Barcelona,08,Barcelona,2,,cotxe,POINT (2.19608 41.38702)
,,APARCAMENT HOTEL,semiRAPID,TESLA,41.39619,2.16095,TESLA Destinació - Hotel OMM (11kW),11,AC,,"Carrer del Rosselló, 265",Barcelona,08,Barcelona,,,,POINT (2.16095 41.39619)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,41.4033,2.152327,B:SM 14 - Gràcia motos,,,BSM036,"Carrer Gran de Gràcia, 190",Barcelona,08,Barcelona,2,,moto,POINT (2.152327 41.4033)
,B:SM Serveis Municipals,APARCAMENT PUBLIC,NORMAL,Schuko,41.385727,2.14285,B:SM 52 - Tarradelles-Entença,,,BAMSA013,"Avinguda  de Josep Tarradellas, 64",Barcelona,08,Barcelona,1,,cotxe,POINT (2.14285 41.385727)
,Institut Català d'Energia i Ajuntament de Sant Feliu de Guíxols,,semiRAPID,2xMENNEKES.F,41.78059,3.0219,EdRsR Guíxols Estació BUSOS (AC22kW) PIRVEC-29,22,AC,PIRVEC-29,"Carrer Dr. Rovira, 47",Girona,17,Sant Feliu de Guíxols,2,,,POINT (3.0219 41.78059)
,Aparcament Centre Olot,APARCAMENT PUBLIC,NORMAL,MENNEKES.F+Schuko,42.18294,2.48422,Aparcament Centre Olot,,,,"Passeig del Bisbe Ramon Guillamet, 7",Girona,17,Olot,2,,cotxe,POINT (2.48422 42.18294)
,IBIL,ESTACIÓ DE SERVEI (IBIL),RAPID,CCS Combo2+ChadeMO+MENNEKES.M,42.025269,2.865046,IBIL ES REPSOL-Celrà (DC50kW AC43kW),50,AC-DC,,"Carretera C-66, km 30,5",Girona,17,Celrà,1,,cotxe,POINT (2.865046 42.025269)
,,,semiRAPID i NORMAL,2xMENNEKES.F+Schuko,41.14367,1.12927,EdRsR FiraReus (7.5kW),7.5,AC,,Avinguda Argentina,Tarragona,43,Reus,,,,POINT (1.12927 41.14367)
